dimension,what_hidden,why_hidden,why_relevant,ref_name,reference
Taxonomic,Most of arthropod biodiversity is unknown to science.,"Taxonomic neglect, with little signs of increasing activities in recent years",Taxonomic families that dominate insect diversity are often hidden taxa; neglect of dark taxa could severely affect our perception of how life on Earth is organized.,Srivathsan et al. (2023); Forbes et al. (2018); Karlsson et al. (2020),https://doi.org/10.1038/s41559-023-02066-0; https://doi.org/10.1186/s12898-018-0176-x; https://doi.org/10.3897/BDJ.8.e47255
Spatial,Studies about the genus Eurythenes revealed a cryptic species complex.,Lives in the remote hadal zone,Plastic fiber found in Eurythenes plasticus from Mariana Trench.,Weston et al. (2020); Geringer et al. (2017),https://doi.org/10.11646/zootaxa.4748.1.9; https://doi.org/10.11646/zootaxa.4358.1.7
Spatial,A third of deep-sea species and 25% DNA remain hidden.,Lack of accessibility,Hidden taxa offer potential for biological carbon pump binding atmospheric carbon dioxide.,Cordier et al. (2022),https://doi.org/10.1126/sciadv.abj9309
Spatial,Benthic toxic cyanobacteria: toxic vs non-toxic strain proportions,Lack of appropriate monitoring approaches,Toxic strains pose increasing health risks and animal poisonings.,Wood et al. (2020),https://doi.org/10.1111/fwb.13532
Spatial,Groundwater biodiversity,Few efforts to assess subsurface ecosystems,Unknown impact on water quality and ecosystem services.,Zhong et al. (2023),https://doi.org/10.1186/s40168-023-01572-4
Temporal,Nocturnal organisms show high levels of nighttime activity.,Lack of human resources at night time,Improves understanding of day vs night ecological functions.,Gaston (2019); Buxton et al. (2022),https://doi.org/10.1086/702250; https://doi.org/10.1111/1365-2664.14284
Temporal,Long-term biodiversity trends from aquatic time series,Long-term studies are rare and methods change over time,"Temporal shifts can only be detected with long, standardized monitoring.",Pilotto et al. (2020); Outhwaite et al. (2020); Haase et al. (2023),https://doi.org/10.1038/s41467-020-17171-y; https://doi.org/10.1038/s41559-020-1111-z; https://doi.org/10.1038/s41586-023-06400-1
Spatio-temporal,Evolution of aquatic insect diversity with freshwater larval stage,Little is known about the evolutionary origin of this diversity,Freshwater insect diversity is ideal to study ecological diversification.,Dijkstra et al. (2014),https://doi.org/10.1146/annurev-ento-011613-161958
Spatio-temporal,Lifecycle of the freshwater pearl mussel (Margaritifera margaritifera),Parasitic larval phase and long juvenile hiding in hyporheic zone,Sensitive to environmental disturbance; requires stable habitats.,Geist (2010); Baldan et al. (2021); Barouillete et al. (2023),https://doi.org/10.1007/s10750-010-0190-2; https://doi.org/10.1111/1365-2664.13940; https://doi.org/10.1002/aqc.4049
Functional,Plant resilience to habitat loss and fragmentation,Limited research in tropical fragmented landscapes,Helps predict resilience under global change.,Zambrano et al. (2019),https://doi.org/10.1007/s00442-019-04505-x
Functional,Benthic communities in littoral and profundal zones,Ecosystem service providers are understudied,Vital feeding grounds for most fish species.,Vadeboncoeur et al. (2011),https://doi.org/10.1525/bio.2011.61.7.7
Functional,Effects of tube-dwelling invertebrates like chironomids,Limnology focuses mostly on pelagic food webs,They influence nutrient cycling and lake states.,Holker et al. (2015),https://doi.org/10.1890/14-1160.1
Genetic,Genetic diversity of wild plants under abiotic extremes,Domestication and selection cause genetic bottlenecks,Conserving wild gene pools is key for resilience.,Bellon et al. (2017),https://doi.org/10.1111/eva.12521
Genetic,Genetic status of farmed aquaculture species,"Lack of policies, training and funding",Essential for risk assessment and sustainable management.,Sonesson et al. (2023),https://doi.org/10.1111/jwas.12968
Social,Extent of the Vinaceous-breasted Parrot's distribution,Conservative methods underestimate distribution,Citizen science data enhances accuracy and reach.,Zulian et al. (2021),https://doi.org/10.1111/ddi.13416
Social,Knowledge about organisms held in indigenous cultures,Lack of connection to indigenous knowledge systems,Loss of language and species erases ecological knowledge.,Zimmer (2024),10.1146/knowable-012524-2
Methodological,Insect biodiversity in low-funded regions,"Lack of affordable, non-invasive global monitoring",Smartphone-based tools democratize insect research.,Riyaz and Ignacimuthu (2023),https://link.springer.com/article/10.1186/s42269-023-01120-y
Methodological,Habitat-specific eDNA data in systems like ponds,Challenges in standardization and consistency,Robust eDNA data is essential for conservation.,Harper et al. (2019),https://doi.org/10.1002/edn3.57
